Subject,Date,Country,Olympiad,Finished,Highlighted
Mathematics,November 2025,United States,American Mathematics Competition 12,No,Yes
Mathematics,October 2025,Canada,Canadian Open Mathematics Challenge,Yes,No
Mathematics,November 2024,United States,American Mathematics Competition 12,Yes,No
Mathematics,October 2024,Canada,Canadian Open Mathematics Challenge,Yes,No
Computing,December 2026,United States,USA North America Artificial Intelligence Olympiad,No,No
Computing,November 2026,Canada,Canada Artificial Intelligence National Challenge,No,No
Computing,January 2026,United States,North American Computational Linguistics Open Exam,Yes,No
Computing,March 2025,Canada,Canadian Computing Competition Senior Exam,Yes,No
Computing,January 2025,Canada,North American Computational Linguistics Open Exam,Yes,No
Computing,January 2025,United States,USA Computing Olympiad Bronze Exam,Yes,No
Computing,March 2024,Canada,Canadian Computing Competition Senior Exam,Yes,No
Computing,January 2024,United States,USA Computing Olympiad Bronze Exam,Yes,No
Physics,April 2026,Canada,Canadian Association of Physicists High School Prize Exam,No,No
Physics,March 2026,Canada,Junior Science Olympiad of Canada Exam,No,Yes
Physics,February 2026,United States,USA Physics Olympiad F=ma Qualifying Exam,Yes,No
Physics,November 2025,Canada,Junior Science Olympiad of Canada National Camp - Invitation,No,Yes
Physics,May 2025,Canada,Junior Science Olympiad of Canada Exams,Yes,No
Physics,April 2025,Canada,Canadian Association of Physicists High School Prize Exam,Yes,No
Physics,February 2025,United States,USA Physics Olympiad F=ma Qualifying Exam,Yes,No
Physics,May 2024,Canada,Junior Science Olympiad of Canada Exams,Yes,No
Physics,April 2024,Canada,Canadian Association of Physicists High School Prize Exam,Yes,No
Physics,February 2024,United States,USA Physics Olympiad F=ma Qualifying Exam,Yes,No
Chemistry,April 2026,Canada,Canadian Chemistry Olympiad Exams,No,No
Chemistry,March 2026,United States,United States National Chemistry Olympiad Local Exam,No,Yes
Chemistry,March 2026,Canada,Junior Science Olympiad of Canada Exam,No,Yes
Chemistry,November 2025,Canada,Junior Science Olympiad of Canada National Camp - Invitation,No,Yes
Chemistry,May 2025,Canada,Junior Science Olympiad of Canada Exams,Yes,No
Chemistry,April 2025,Canada,Canadian Chemistry Olympiad Exams,Yes,No
Chemistry,April 2025,United States,United States National Chemistry Olympiad National Exam,Yes,No
Chemistry,March 2025,United States,United States National Chemistry Olympiad Local Exam,Yes,No
Chemistry,May 2024,Canada,Junior Science Olympiad of Canada Exams,Yes,No
Chemistry,April 2024,Canada,Canadian Chemistry Olympiad Exams,Yes,No
Biology,April 2026,Canada,Canadian Biology Olympiad Competition Exam,No,No
Biology,March 2026,Canada,Junior Science Olympiad of Canada Exam,No,Yes
Biology,February 2026,United States,USA Biology Olympiad Open Exam,Yes,No
Biology,November 2025,Canada,Junior Science Olympiad of Canada National Camp - Invitation,No,Yes
Biology,May 2025,Canada,Junior Science Olympiad of Canada Exams,Yes,No
Biology,February 2025,United States,USA Biology Olympiad Open Exam,Yes,No
Biology,May 2024,Canada,Junior Science Olympiad of Canada Exams,Yes,No
Biology,April 2024,Canada,Canadian Biology Olympiad Competition Exam,Yes,No
Astronomy,May 2026,Canada,Canadian Astronomy and Astrophysics Olympiad Junior Exam,No,No
Astronomy,March 2026,Canada,Canadian Astronomy and Astrophysics Olympiad Senior Exam,Yes,No
Astronomy,February 2026,United States,USA Astronomy and Astrophysics Olympiad First Round Exam,No,Yes
Astronomy,October 2025,Canada,International Olympiad on Astronomy and Astrophysics Junior - Invitation,No,Yes
Astronomy,May 2025,Canada,Canadian Astronomy and Astrophysics Olympiad Junior Exam,Yes,No
Astronomy,March 2025,Canada,Canadian Astronomy and Astrophysics Olympiad Senior Exam,Yes,No
Astronomy,February 2025,United States,USA Astronomy and Astrophysics Olympiad First Round Exam,Yes,No
Astronomy,March 2024,Canada,Canadian Astronomy and Astrophysics Olympiad Senior Exam,Yes,No
Astronomy,February 2024,United States,USA Astronomy and Astrophysics Olympiad First Round Exam,Yes,No
